_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,54,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,...,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2020,79,P,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2021,...,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,4,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,41,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,...,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2020,17,P,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2021,...,,3 and 12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,1152,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,1627,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2020,1880,P,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2021,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2016,13,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2018,19,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2020,31,P,12,NZ Dollars (millions)
